nom;idparking;idparkingcriter;commune;insee;proprietaire;gestionnaire;idfournisseur;voieentree;voiesortie;avancement;annee;typeparking;situation;parkingtempsreel;gabarit;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture;observation;codetype;gid;lon;lat
Parking P4 - Aéroport Lyon - St-Exupéry;P1054;114;;;Aéroport Saint Exupé;Aéroport Saint Exupé;;Aéroport Saint Exupéry;Aéroport Saint Exupéry;Existant;;Parc privé (ou concédé non GL);En surface;True;2.6;3265;;0;7;15;Horaire;Commerciale;Payant;Ouvert 24h/24h;durée de stationnement conseillé 0 à 3 jours;4;8518;5,07338341368274;45,721064749562
Médiathèque;P783;;Mions;69283;GRAND LYON;GRAND LYON;;Rue Fabian Martin;Rue Fabian Martin;Existant;;Poche de stationnement;En surface;False;;25;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8119;4,95729075167754;45,6666861324396
Neuville - Quai Barbès;P9003;;Neuville-sur-Saône;69143;;TSMO;;Place Jean Christophe;;Existant;;Covoiturage spontané;;;;;;;;;;;;;Autohop;8;8325;4,83668146739081;45,8794177535325
Balmes/Deschamps;P597;;Vénissieux;69259;GRAND LYON;GRAND LYON;;Rue Joseph Deschamps;Rue Joseph Deschamps;Existant;;Poche de stationnement;En surface;False;;21;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;Arrêté n°18 023 S du 15/05/2018;5;7000;4,89259511637104;45,7237436482224
La Poste;P642;;Décines-Charpieu;69275;;;;Avenue Jean Macé;Avenue Jean Macé;Existant;;Poche de stationnement;En surface;False;;14;0;0;0;0;Libre;Commerciale;Gratuit;Ouvert 24h/24h;;5;7075;4,95604083723714;45,7684721849238
Grézieu la Varenne - Salle des fêtes;P947;;;;COMMUNE;COMMUNE;;Rue des Attignies;Rue des Attignies;Existant;;Aire de covoiturage hors GL;En surface;False;;27;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;CCVL;7;8311;4,68777187561525;45,7474095574712
Gare de Sérézin;P1084;;;;;SNCF;;Rue de la Sarrazinière;Rue de la Sarrazinière;Existant;;P+R Gare;En surface;False;;162;;;;2;;;;;;2;8547;4,81806000014814;45,6271600003372
Intermarché et Bricomarché;P141;;Grigny;69096;PRIVE;PRIVE;;Rue Charles de Gaulle;Rue Charles de Gaulle;Existant;;Parc privé (ou concédé non GL);En surface;False;;187;0;0;0;2;Libre;Commerciale;Gratuit;Ouvert 24h/24h;;4;7052;4,78251898314733;45,6049825536414
Place Désiré Trait;P847;;La Mulatière;69142;GRAND LYON;GRAND LYON;;Rue de Lattre de Tassigny;Rue de Lattre de Tassigny;Existant;;Poche de stationnement;En surface;False;;17;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8197;4,80919588462037;45,7293101187187
Ainay;P157;;Lyon 2e Arrondissement;69382;PRIVE;PRIVE;;Rue des Remparts d'Ainay;Rue des Remparts d'Ainay;Existant;;Parc privé (ou concédé non GL);En ouvrage (en élévation);False;;60;;;;;Mixte;Mixte;Payant;Nuit;;4;8202;4,83038298449993;45,7544938113651
Salle Joseph Chatain;P453;;Couzon-au-Mont-d'Or;69068;COMMUNE;COMMUNE;;Avenue Général de Gaulle;Avenue Général de Gaulle;Existant;;Poche de stationnement;En surface;False;;9;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;5121;4,83150062889282;45,8455816692023
Centre;P200;;Albigny-sur-Saône;69003;COMMUNE;COMMUNE;;Rue Etienne Richerand;Rue Jean Chirat;Existant;;Poche de stationnement;En surface;False;;54;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h;;5;961;4,83122899278386;45,8651751682938
Rue du Perron;P404;;Genay;69278;GRAND LYON;GRAND LYON;;Rue du Perron;Rue du Perron;Existant;1990;Poche de stationnement;En surface;False;;10;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h;;5;2892;4,83503922214726;45,8905403284192
Hôtel de Ville;P355;;Francheville;69089;GRAND LYON;GRAND LYON;;Rue du Robert;Rue du Robert;Existant;2011;Poche de stationnement;En surface;False;;90;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;1602;4,76493931544553;45,7357025396117
Hôtel de Ville;P346;;Vénissieux;69259;COMMUNE;COMMUNE;;Rue Gambetta;Rue Gambetta;Existant;;Poche de stationnement;En surface;False;;160;0;0;0;4;Libre;;Gratuit;Ouvert 24h/24h;;5;1106;4,88369010777874;45,6970647774601
Aquarium (quai de la Libération);P838;;La Mulatière;69142;GRAND LYON;GRAND LYON;;Quai de la Libération;Quai de la Libération;Existant;;Poche de stationnement;En surface;False;;0;0;0;0;0;Libre;Commerciale;Gratuit;Ouvert 24h/24h;6 places (cars et bus uniquement);5;8188;4,81612072474222;45,7278561643287
Gymnase;P702;;Jonage;69279;COMMUNE;COMMUNE;;Rue du Lavoir;Rue du Lavoir;Existant;;Poche de stationnement;En surface;False;2.2;100;0;0;0;3;Libre;Evènementielle;Gratuit;Ouvert 24h/24h;;5;7158;5,05038052783756;45,7908944474854
Pti frippons;P780;;Mions;69283;COMMUNE;COMMUNE;;Rue du 23 aout 1944;Rue du 23 aout 1944;Existant;;Poche de stationnement;En surface;False;;10;0;3;0;0;Libre;;Gratuit;;;5;8116;4,95187954427421;45,6647135997563
Maison des Associations;P857;;Saint-Priest;69290;COMMUNE;COMMUNE;;Rue Aristide Briand;Rue Aristide Briand;Existant;;Poche de stationnement;En surface;False;;27;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h;;5;8216;4,93638962420608;45,6905505470886
